$PRACTISCORE 1.682 RESULTS
$INFO Region:USPSA
$INFO PLATFORM IOS
$INFO PractiScore_Product: PractiScore (iOS)
$INFO PractiScore_Version:1.682
$INFO Match name:Hosers Steel Tactical Rifle 10-24-21 1200
$INFO Match date:10/24/2021
$INFO Club Name:Hoser
$INFO Club Code:HOSERS STEEL
$INFO Multigun:0
$INFO Scoring:0
$INFO Classifiers:0
$INFO Match Level: Level I
Z 3.0
A Hosers Steel Tactical Rifle 10-24-21 1200,Hoser,10/24/2021
D Comp,USPSA,FirstName,LastName,DQPistol,DQRifle,DQShotgun,Reentry,Class,Division,Match Points,Place Overall,Power Factor,Shotgun Division,Shotgun Power Factor,Shotgun Place Overall,Shotgun Entered,Shotgun Match Points,Rifle Division,Rifle Power Factor,Rifle Place Overall,Rifle Entered,Rifle Match Points,Aggregate,Aggregate Division,Aggregate Pistol Percent,Aggregate Pistol Points,Aggregate Place,Aggregate Rifle Percent,Aggregate Rifle Points,Aggregate Shotgun Percent,Aggregate Shotgun Points,Aggregate Total,Female,Age,Law,Military
E 1,,Kenny,Weiman,No,No,No,No,,Limited,435.4588,1,Major,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 2,,Douglas,Wilkinson,No,No,No,No,,Limited,359.5173,2,Major,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,Yes,No
E 3,,Steven,Dailey,No,No,No,No,,Open,450.0000,1,Major,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,Senior,No,Yes
E 4,,Hoser,Freeman,No,No,No,No,,Tactical,450.0000,1,Major,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,Yes
E 5,,Felix,Morrow,No,No,No,No,,Tactical,331.2405,2,Major,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 6,,George,Delena,No,No,No,No,,Tactical,314.7126,3,Major,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 7,,David,Haworth,No,No,No,No,,Tactical,288.2054,4,Major,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 8,,Jeff,Bodmer,No,No,No,No,,Tactical,258.0784,5,Major,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,Yes,No
E 9,,Bobby,Slavov,No,No,No,No,,Tactical,254.8511,6,Major,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,Yes
E 10,,Justin,Otis,No,No,No,No,,Tactical,237.6104,7,Major,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 11,,John,Sternberg,No,No,No,No,,Tactical,209.4555,8,Major,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,Senior,No,No
E 12,,Charlene,Jones,No,No,No,No,U,Tactical,199.6997,9,Major,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,Yes,,No,No
E 13,,Robert,Williams,No,No,No,No,,Tactical,163.1361,10,Major,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 14,,Chris,West,No,No,No,No,,Tactical,127.5544,11,Major,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 15,,Patrick,Smith,No,No,No,No,,Tactical,83.5368,12,Major,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 16,,Joseph,Conlin,No,No,No,No,,Tactical,10.3295,13,Major,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 17,,Jerry,Di Domenico,No,No,No,No,,Tactical,0.0000,14,Major,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
F Number,Guntype,Minimum Rounds,Maximum Points,Classifier,Classifier_No,Stage_name,ScoringType,TimesRun
G 1,Pistol,30,150,No,,Silhouette Range,Comstock,1
G 2,Pistol,30,150,No,,300 Yd Range,Comstock,1
G 3,Pistol,30,150,No,,VTAC Wall,Comstock,3
H Gun,Stage,Comp,DQ,DNF,A,B,C,D,Miss,No Shoot,Procedural,Double Poppers,Double Popper Miss,Late Shot,Extra Shot,Extra Hit,No Penalty Miss,Additional Penalty,Total Penalty,T1,T2,T3,T4,T5,Time,Raw Points,Total Points,Hit Factor,Stage Points,Stage Place,Stage Power Factor
I Pistol,1,1,No,No,30,0,0,0,0,0,0,30,0,0,0,0,0,0,0,100.57,0,0,0,0,100.57,150,150,1.4915,150.0000,1,
I Pistol,1,2,No,No,30,0,0,0,0,0,0,30,0,0,0,0,0,0,0,124.52,0,0,0,0,124.52,150,150,1.2046,121.1465,2,
I Pistol,1,3,No,No,30,0,0,0,0,0,0,30,0,0,0,0,0,0,0,105.15,0,0,0,0,105.15,150,150,1.4265,150.0000,1,
I Pistol,1,4,No,No,30,0,0,0,0,0,0,30,0,0,0,0,0,0,0,71.62,0,0,0,0,71.62,150,150,2.0944,150.0000,1,
I Pistol,1,5,No,No,30,0,0,0,0,0,0,30,0,0,0,0,0,0,0,111.15,0,0,0,0,111.15,150,150,1.3495,96.6506,5,
I Pistol,1,6,No,No,30,0,0,0,0,0,0,30,0,0,0,0,0,0,0,89.12,0,0,0,0,89.12,150,150,1.6831,120.5429,2,
I Pistol,1,7,No,No,30,0,0,0,0,0,0,30,0,0,0,0,0,0,0,110.1,0,0,0,0,110.10,150,150,1.3624,97.5745,4,
I Pistol,1,8,No,No,30,0,0,0,0,0,0,30,0,0,0,0,0,0,0,124.44,0,0,0,0,124.44,150,150,1.2054,86.3302,6,
I Pistol,1,9,No,No,30,0,0,0,0,0,0,30,0,0,0,0,0,0,0,132.11,0,0,0,0,132.11,150,150,1.1354,81.3168,7,
I Pistol,1,10,No,No,30,0,0,0,0,0,0,30,0,0,0,0,0,0,0,148.65,0,0,0,0,148.65,150,150,1.0091,72.2713,9,
I Pistol,1,11,No,No,30,0,0,0,0,0,0,30,0,0,0,0,0,0,0,154.82,0,0,0,0,154.82,150,150,0.9689,69.3922,10,
I Pistol,1,12,No,No,30,0,0,0,0,0,0,30,0,0,0,0,0,0,0,99.69,0,0,0,0,99.69,150,150,1.5047,107.7659,3,
I Pistol,1,13,No,No,30,0,0,0,0,0,0,30,0,0,0,0,0,0,0,157.18,0,0,0,0,157.18,150,150,0.9543,68.3465,11,
I Pistol,1,14,No,No,30,0,0,0,0,0,0,30,0,0,0,0,0,0,0,147.42,0,0,0,0,147.42,150,150,1.0175,72.8729,8,
I Pistol,1,15,No,No,30,0,0,0,0,0,0,30,0,0,0,0,0,0,0,255.22,0,0,0,0,255.22,150,150,0.5877,42.0908,12,
I Pistol,1,16,No,No,17,0,0,0,13,0,0,17,13,0,0,0,0,0,130,298.4,0,0,0,0,298.40,85,0,0.0000,0.0000,14,
I Pistol,2,1,No,No,30,0,0,0,0,0,0,30,0,0,0,0,0,0,0,108.18,0,0,0,0,108.18,150,150,1.3866,150.0000,1,
I Pistol,2,2,No,No,30,0,0,0,0,0,0,30,0,0,0,0,0,0,0,183.62,0,0,0,0,183.62,150,150,0.8169,88.3708,2,
I Pistol,2,3,No,No,30,0,0,0,0,0,0,30,0,0,0,0,0,0,0,143.64,0,0,0,0,143.64,150,150,1.0443,150.0000,1,
I Pistol,2,4,No,No,30,0,0,0,0,0,0,30,0,0,0,0,0,0,0,103.19,0,0,0,0,103.19,150,150,1.4536,150.0000,1,
I Pistol,2,5,No,No,30,0,0,0,0,0,0,30,0,0,0,0,0,0,0,126.73,0,0,0,0,126.73,150,150,1.1836,122.1381,2,
I Pistol,2,6,No,No,30,0,0,0,0,0,0,30,0,0,0,0,0,0,0,142.28,0,0,0,0,142.28,150,150,1.0543,108.7954,3,
I Pistol,2,7,No,No,30,0,0,0,0,0,0,30,0,0,0,0,0,0,0,184.12,0,0,0,0,184.12,150,150,0.8147,84.0706,8,
I Pistol,2,8,No,No,30,0,0,0,0,0,0,30,0,0,0,0,0,0,0,172.15,0,0,0,0,172.15,150,150,0.8713,89.9113,5,
I Pistol,2,9,No,No,30,0,0,0,0,0,0,30,0,0,0,0,0,0,0,219.21,0,0,0,0,219.21,150,150,0.6843,70.6143,10,
I Pistol,2,10,No,No,30,0,0,0,0,0,0,30,0,0,0,0,0,0,0,190.36,0,0,0,0,190.36,150,150,0.7880,81.3154,9,
I Pistol,2,11,No,No,30,0,0,0,0,0,0,30,0,0,0,0,0,0,0,179.43,0,0,0,0,179.43,150,150,0.8360,86.2686,7,
I Pistol,2,12,No,No,30,0,0,0,0,0,0,30,0,0,0,0,0,0,0,168.37,0,0,0,0,168.37,150,150,0.8909,91.9338,4,
