$PRACTISCORE 1.682 RESULTS
$INFO Region:USPSA
$INFO PLATFORM IOS
$INFO PractiScore_Product: PractiScore (iOS)
$INFO PractiScore_Version:1.682
$INFO Match name:Hosers Steel Tactical Rifle 3-27-22 0900
$INFO Match date:03/27/2022
$INFO Club Name:Hoser
$INFO Club Code:HOSERS STEEL
$INFO Multigun:0
$INFO Scoring:0
$INFO Classifiers:0
$INFO Match Level: Level I
Z 3.0
A Hosers Steel Tactical Rifle 3-27-22 0900,Hoser,03/27/2022
D Comp,USPSA,FirstName,LastName,DQPistol,DQRifle,DQShotgun,Reentry,Class,Division,Match Points,Place Overall,Power Factor,Shotgun Division,Shotgun Power Factor,Shotgun Place Overall,Shotgun Entered,Shotgun Match Points,Rifle Division,Rifle Power Factor,Rifle Place Overall,Rifle Entered,Rifle Match Points,Aggregate,Aggregate Division,Aggregate Pistol Percent,Aggregate Pistol Points,Aggregate Place,Aggregate Rifle Percent,Aggregate Rifle Points,Aggregate Shotgun Percent,Aggregate Shotgun Points,Aggregate Total,Female,Age,Law,Military
E 1,,Justin,Otis,No,No,No,No,U,HeMan,450.0000,1,Major,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 2,,Felix,Morrow,No,No,No,No,,Limited,425.7181,1,Major,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 3,,Sean,Myhre,No,No,No,No,,Limited,373.5614,2,Major,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 4,,Steven,Dailey,No,No,No,No,,Open,410.0376,1,Major,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,Senior,No,Yes
E 5,,David,Wilson,No,No,No,No,,Open,408.0488,2,Major,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 6,,David,Podoll,No,No,No,No,,Open,307.5538,3,Major,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 7,,Hoser,Freeman,No,No,No,No,,Tactical,444.6143,1,Major,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,Yes
E 8,,Katnip,Koenig,No,No,No,No,,Tactical,378.1707,2,Major,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,Yes
E 9,,Robert,Christie,No,No,No,No,,Tactical,364.3157,3,Major,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 10,,Kenny,Weiman,No,No,No,No,,Tactical,320.8787,4,Major,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 11,,Tanner,Jones,No,No,No,No,,Tactical,299.9839,5,Major,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 12,,Jeremy,Valdetero,No,No,No,No,,Tactical,295.4882,6,Major,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 13,,Jared,Marshall,No,No,No,No,,Tactical,287.6848,7,Major,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 14,,James,Burkhart,No,No,No,No,,Tactical,245.8226,8,Major,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 15,,Mike,Shelton,No,No,No,No,,Tactical,243.8851,9,Major,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 16,,Tim,Kulin,No,No,No,No,,Tactical,242.2025,10,Major,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 17,,Kelly,Hill,No,No,No,No,,Tactical,239.0226,11,Major,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,Yes,,No,No
E 18,,Brett,Lohman,No,No,No,No,,Tactical,237.1410,12,Major,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 19,,John,Sternberg,No,No,No,No,,Tactical,236.1346,13,Major,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,Senior,No,No
E 20,,Charlene,Jones,No,No,No,No,,Tactical,235.9501,14,Major,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,Yes,,No,No
E 21,,Fritz,Ahlquist,No,No,No,No,,Tactical,234.2059,15,Major,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 22,,Nathan,Zeleski,No,No,No,No,,Tactical,182.1250,16,Major,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 23,,Xa,McBride,No,No,No,No,,Tactical,167.7054,17,Major,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,Yes,,No,No
E 24,,Christian,Koca,No,No,No,No,,Tactical,77.5601,18,Major,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,Yes
F Number,Guntype,Minimum Rounds,Maximum Points,Classifier,Classifier_No,Stage_name,ScoringType,TimesRun
G 1,Pistol,30,150,No,,Silhouette Range,Comstock,1
G 2,Pistol,30,150,No,,300 Yd Range,Comstock,1
G 3,Pistol,30,150,No,,VTAC Wall,Comstock,3
H Gun,Stage,Comp,DQ,DNF,A,B,C,D,Miss,No Shoot,Procedural,Double Poppers,Double Popper Miss,Late Shot,Extra Shot,Extra Hit,No Penalty Miss,Additional Penalty,Total Penalty,T1,T2,T3,T4,T5,Time,Raw Points,Total Points,Hit Factor,Stage Points,Stage Place,Stage Power Factor
I Pistol,1,1,No,No,30,0,0,0,0,0,0,30,0,0,0,0,0,0,0,179.54,0,0,0,0,179.54,150,150,0.8355,150.0000,1,
I Pistol,1,2,No,No,30,0,0,0,0,0,0,30,0,0,0,0,0,0,0,176.65,0,0,0,0,176.65,150,150,0.8491,125.7181,2,
I Pistol,1,3,No,No,30,0,0,0,0,0,0,30,0,0,0,0,0,0,0,148.06,0,0,0,0,148.06,150,150,1.0131,150.0000,1,
I Pistol,1,4,No,No,30,0,0,0,0,0,0,30,0,0,0,0,0,0,0,120.15,0,0,0,0,120.15,150,150,1.2484,150.0000,1,
I Pistol,1,5,No,No,30,0,0,0,0,0,0,30,0,0,0,0,0,0,0,130.15,0,0,0,0,130.15,150,150,1.1525,138.4773,2,
I Pistol,1,6,No,No,30,0,0,0,0,0,0,30,0,0,0,0,0,0,0,148.52,0,0,0,0,148.52,150,150,1.0100,121.3553,3,
I Pistol,1,7,No,No,30,0,0,0,0,0,0,30,0,0,0,0,0,0,0,75.89,0,0,0,0,75.89,150,150,1.9765,150.0000,1,
I Pistol,1,8,No,No,30,0,0,0,0,0,0,30,0,0,0,0,0,0,0,94.09,0,0,0,0,94.09,150,150,1.5942,120.9866,2,
I Pistol,1,9,No,No,30,0,0,0,0,0,0,30,0,0,0,0,0,0,0,116,0,0,0,0,116.00,150,150,1.2931,98.1356,5,
I Pistol,1,10,No,No,30,0,0,0,0,0,0,30,0,0,0,0,0,0,0,103.95,0,0,0,0,103.95,150,150,1.4430,109.5118,3,
I Pistol,1,11,No,No,30,0,0,0,0,0,0,30,0,0,0,0,0,0,0,125.99,0,0,0,0,125.99,150,150,1.1906,90.3567,8,
I Pistol,1,12,No,No,30,0,0,0,0,0,0,30,0,0,0,0,0,0,0,122.46,0,0,0,0,122.46,150,150,1.2249,92.9598,6,
I Pistol,1,13,No,No,30,0,0,0,0,0,0,30,0,0,0,0,0,0,0,124.88,0,0,0,0,124.88,150,150,1.2012,91.1611,7,
I Pistol,1,14,No,No,30,0,0,0,0,0,0,30,0,0,0,0,0,0,0,148.19,0,0,0,0,148.19,150,150,1.0122,76.8176,13,
I Pistol,1,15,No,No,30,0,0,0,0,0,0,30,0,0,0,0,0,0,0,161.53,0,0,0,0,161.53,150,150,0.9286,70.4731,14,
I Pistol,1,16,No,No,30,0,0,0,0,0,0,30,0,0,0,0,0,0,0,185.29,0,0,0,0,185.29,150,150,0.8095,61.4344,16,
I Pistol,1,17,No,No,29,0,0,0,1,0,0,29,1,0,0,0,0,0,10,130.04,0,0,0,0,130.04,145,135,1.0381,78.7832,12,
I Pistol,1,18,No,No,30,0,0,0,0,0,0,30,0,0,0,0,0,0,0,188.77,0,0,0,0,188.77,150,150,0.7946,60.3036,17,
I Pistol,1,19,No,No,30,0,0,0,0,0,0,30,0,0,0,0,0,0,0,132.05,0,0,0,0,132.05,150,150,1.1359,86.2054,11,
I Pistol,1,20,No,No,30,0,0,0,0,0,0,30,0,0,0,0,0,0,0,111.97,0,0,0,0,111.97,150,150,1.3396,101.6646,4,
I Pistol,1,21,No,No,30,0,0,0,0,0,0,30,0,0,0,0,0,0,0,127.67,0,0,0,0,127.67,150,150,1.1749,89.1652,10,
I Pistol,1,22,No,No,30,0,0,0,0,0,0,30,0,0,0,0,0,0,0,127.62,0,0,0,0,127.62,150,150,1.1754,89.2031,9,
I Pistol,1,23,No,No,30,0,0,0,0,0,0,30,0,0,0,0,0,0,0,172.67,0,0,0,0,172.67,150,150,0.8687,65.9271,15,
I Pistol,1,24,No,No,27,0,0,0,3,0,0,27,3,0,0,0,0,0,30,301.28,0,0,0,0,301.28,135,105,0.3485,26.4483,18,
I Pistol,2,1,No,No,30,0,0,0,0,0,0,30,0,0,0,0,0,0,0,206.65,0,0,0,0,206.65,150,150,0.7259,150.0000,1,
I Pistol,2,2,No,No,30,0,0,0,0,0,0,30,0,0,0,0,0,0,0,191.47,0,0,0,0,191.47,150,150,0.7834,150.0000,1,
I Pistol,2,3,No,No,30,0,0,0,0,0,0,30,0,0,0,0,0,0,0,200.68,0,0,0,0,200.68,150,150,0.7475,143.1261,2,
I Pistol,2,4,No,No,30,0,0,0,0,0,0,30,0,0,0,0,0,0,0,137.42,0,0,0,0,137.42,150,150,1.0915,110.0376,2,
I Pistol,2,5,No,No,30,0,0,0,0,0,0,30,0,0,0,0,0,0,0,100.81,0,0,0,0,100.81,150,150,1.4879,150.0000,1,
I Pistol,2,6,No,No,30,0,0,0,0,0,0,30,0,0,0,0,0,0,0,172.9,0,0,0,0,172.90,150,150,0.8676,87.4656,3,
I Pistol,2,7,No,No,30,0,0,0,0,0,0,30,0,0,0,0,0,0,0,91.28,0,0,0,0,91.28,150,150,1.6433,144.6143,2,
I Pistol,2,8,No,No,30,0,0,0,0,0,0,30,0,0,0,0,0,0,0,88,0,0,0,0,88.00,150,150,1.7045,150.0000,1,
I Pistol,2,9,No,No,30,0,0,0,0,0,0,30,0,0,0,0,0,0,0,96.15,0,0,0,0,96.15,150,150,1.5601,137.2925,4,
I Pistol,2,10,No,No,30,0,0,0,0,0,0,30,0,0,0,0,0,0,0,116.67,0,0,0,0,116.67,150,150,1.2857,113.1446,5,
I Pistol,2,11,No,No,30,0,0,0,0,0,0,30,0,0,0,0,0,0,0,132.13,0,0,0,0,132.13,150,150,1.1352,99.9003,6,
